------------------------------------------------------------------------------------
导出信息：
姓名：曾振杰
支付宝账户：2263878115@qq.com
起始时间：[2025-03-04 00:00:00]    终止时间：[2025-06-04 23:59:59]
导出交易类型：[全部]
导出时间：[2025-06-04 17:18:46]
共351笔记录
收入：0笔 0.00元
支出：232笔 4456.85元
不计收支：119笔 12798.61元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅展示当前账单中的交易，不包括已删除的记录；
9.本明细仅供个人对账使用。

------------------------支付宝（中国）网络技术有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2025-06-04 12:22:36,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-06-04 12:21:29,支出,4.50,余额宝,交易成功,2025060422001417481458638605	,1711202506044447805155102693	,,
2025-06-04 04:43:40,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.06.03-收益发放,不计收支,0.09,余额宝,交易成功,20250604394550051481	,	,,
2025-06-03 21:19:39,日用百货,校园e站教育超市,/,条码支付-总部-M25013230002202506030394502,支出,17.50,余额宝,交易成功,2025060322001417481403936556	,05126600004836000083620250603969636294	,,
2025-06-03 20:00:42,生活服务,美团,it_***@meituan.com,萨克滋.手作方形底特律披萨店（港澳店）-美团App-25060311100300001300731195942039,支出,19.78,余额宝,交易成功,2025060322001417481458740859	,20250603200030U08043976417973339	,,
2025-06-03 11:16:44,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-06-03 11:16:16,支出,3.50,余额宝,交易成功,2025060322001417481458954713	,1711202506034056400355102565	,,
2025-06-03 03:19:33,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.06.02-收益发放,不计收支,0.09,余额宝,交易成功,20250603388528278481	,	,,
2025-06-02 12:11:03,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,贡茶(港澳广场店)外卖订单,支出,4.88,余额宝,交易成功,2025060222001117481453309866	,13120600725060276117025144339	,,
2025-06-02 02:43:49,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.06.01-收益发放,不计收支,0.09,余额宝,交易成功,20250602381788948481	,	,,
2025-06-01 20:52:56,生活服务,美团,it_***@meituan.com,萨克滋.手作方形底特律披萨店（港澳店）-美团App-25060111100300001300425571125039,支出,19.28,余额宝,交易成功,2025060122001417481447259769	,20250601205248U91911223747153936	,,
2025-06-01 13:44:39,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-06-01 13:44:17,支出,6.00,余额宝,交易成功,2025060123001417481450841953	,1711202506014944701055102692	,,
2025-06-01 03:16:17,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.31-收益发放,不计收支,0.09,余额宝,交易成功,20250601371157376481	,	,,
2025-05-31 21:21:43,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,茶百道(安徽大学金寨路店)外卖订单,支出,10.20,余额宝,交易成功,2025053122001117481443876962	,13210600725053119981706144339	,,
2025-05-31 12:04:06,生活服务,美团,it_***@meituan.com,萨克滋.手作方形底特律披萨店（港澳店）-美团App-25053111100300001300127927373039,支出,21.28,余额宝,交易成功,2025053122001417481441348624	,20250531120358U37174412821863141	,,
2025-05-31 03:45:30,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.30-收益发放,不计收支,0.09,余额宝,交易成功,20250531369850245481	,	,,
2025-05-30 03:59:41,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.29-收益发放,不计收支,0.10,余额宝,交易成功,20250530358332258481	,	,,
2025-05-29 18:47:49,日用百货,校园e站教育超市,/,条码支付-总部-M25013230001202505290394544,支出,6.50,余额宝,交易成功,2025052922001417481429651692	,21126600004836000083620250529699560013	,,
2025-05-29 18:03:36,教育培训,合肥工业大学,zhi***@hfut.edu.cn,校园一卡通尾号(4191)充值,支出,50.00,余额宝,交易成功,2025052922001417481430846278	,202505290000001188624102	,,
2025-05-29 17:03:21,其他,Steam,sup***@nuvei.com,Steam Purchase,支出,18.00,余额宝,交易成功,2025052922001417481430765879	,2025052919074101000540084407118	,,
2025-05-29 12:21:05,日用百货,校园e站教育超市,/,条码支付-总部-M25013230001202505290157426,支出,19.50,余额宝,交易成功,2025052922001417481431791571	,16126600004836000083620250529693786610	,,
2025-05-29 03:57:36,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.28-收益发放,不计收支,0.10,余额宝,交易成功,20250529356713527481	,	,,
